Method,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
resnet18,0.72,0.58,0.505,0.46,0.38,0.34,0.305,0.28,0.26,0.23,0.22,0.2,0.135,0.115,0.09,0.07,0.05,0.025,0.02,0.005
v3_inception,0.745,0.635,0.58,0.51,0.46,0.395,0.375,0.3,0.265,0.27,0.225,0.235,0.175,0.125,0.115,0.075,0.075,0.03,0.035,0.0
v3_large,0.815,0.69,0.615,0.555,0.475,0.435,0.38,0.275,0.28,0.255,0.23,0.19,0.21,0.16,0.115,0.07,0.045,0.015,0.005,0.015
v3_small,0.745,0.58,0.49,0.435,0.375,0.305,0.26,0.25,0.235,0.21,0.195,0.16,0.145,0.09,0.07,0.05,0.025,0.01,0.0,0.005
