,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
GradientShap,0.745,0.58,0.49,0.435,0.375,0.305,0.26,0.25,0.235,0.21,0.195,0.16,0.145,0.09,0.07,0.05,0.025,0.01,0.0,0.005
GuidedGradCam,0.7,0.54,0.445,0.38,0.345,0.31,0.28,0.235,0.195,0.185,0.145,0.135,0.135,0.105,0.085,0.065,0.065,0.04,0.01,0.005
InputXGradient,0.725,0.61,0.52,0.4,0.36,0.275,0.26,0.23,0.215,0.18,0.155,0.13,0.09,0.08,0.05,0.035,0.02,0.005,0.005,0.005
Random,0.81,0.715,0.59,0.505,0.435,0.375,0.325,0.275,0.215,0.18,0.135,0.125,0.09,0.07,0.06,0.035,0.025,0.01,0.01,0.005
Saliency,0.87,0.84,0.795,0.745,0.72,0.655,0.605,0.51,0.49,0.395,0.34,0.3,0.245,0.205,0.15,0.11,0.07,0.04,0.015,0.005
