,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
GradientShap,0.745,0.635,0.58,0.51,0.46,0.395,0.375,0.3,0.265,0.27,0.225,0.235,0.175,0.125,0.115,0.075,0.075,0.03,0.035,0.0
GuidedGradCam,0.65,0.53,0.39,0.345,0.295,0.27,0.23,0.195,0.18,0.19,0.195,0.17,0.125,0.105,0.1,0.08,0.055,0.02,0.0,0.0
InputXGradient,0.74,0.655,0.565,0.525,0.4,0.35,0.31,0.26,0.21,0.195,0.18,0.15,0.115,0.085,0.075,0.045,0.01,0.02,0.01,0.0
Random,0.885,0.83,0.72,0.695,0.585,0.51,0.46,0.385,0.33,0.3,0.25,0.185,0.13,0.07,0.055,0.035,0.005,0.0,0.005,0.0
Saliency,0.935,0.935,0.94,0.925,0.925,0.895,0.85,0.83,0.8,0.745,0.715,0.65,0.56,0.47,0.345,0.245,0.105,0.03,0.015,0.0
