File,Average Match,Removed_Percentage
resnet18,0.5689381933438986,0
resnet18,0.5660919540229885,2
resnet18,0.5990783410138248,4
resnet18,0.6666666666666666,6
resnet18,0.6433566433566433,8
resnet18,0.6433566433566433,10
resnet18,0.6495726495726496,12
resnet18,0.696078431372549,14
resnet18,0.6210526315789474,16
resnet18,0.651685393258427,18
resnet18,0.6853932584269663,20
resnet18,0.6705882352941176,22
resnet18,0.620253164556962,24
resnet18,0.7692307692307693,26
resnet18,0.7794117647058824,28
resnet18,0.6666666666666666,30
resnet18,0.7377049180327869,32
resnet18,0.6578947368421053,34
resnet18,0.825,36
resnet18,0.7068965517241379,38
resnet18,0.6923076923076923,40
resnet18,0.6111111111111112,42
resnet18,0.5636363636363636,44
resnet18,0.7611940298507462,46
resnet18,0.76,48
resnet18,0.74,50
resnet18,0.7142857142857143,52
resnet18,0.65,54
resnet18,0.6212121212121212,56
resnet18,0.723404255319149,58
resnet18,0.6341463414634146,60
resnet18,0.76,62
resnet18,0.7391304347826086,64
resnet18,0.6415094339622641,66
resnet18,0.6233766233766234,68
resnet18,0.5094339622641509,70
resnet18,0.6338028169014085,72
resnet18,0.6164383561643836,74
resnet18,0.5555555555555556,76
resnet18,0.6190476190476191,78
resnet18,0.6216216216216216,80
resnet18,0.6382978723404256,82
resnet18,0.47560975609756095,84
resnet18,0.5,86
resnet18,0.6410256410256411,88
resnet18,0.5251798561151079,90
resnet18,0.5421052631578948,92
resnet18,0.5684647302904564,94
resnet18,0.560126582278481,96
resnet18,0.38243316966721225,98
inception,,0
inception,0.7581521739130435,2
inception,0.593939393939394,4
inception,0.516728624535316,6
inception,0.5621468926553672,8
inception,0.573170731707317,10
inception,0.6,12
inception,0.563953488372093,14
inception,0.6118421052631579,16
inception,0.6065573770491803,18
inception,0.6607142857142857,20
inception,0.6810344827586207,22
inception,0.6274509803921569,24
inception,0.6702127659574468,26
inception,0.6933333333333334,28
inception,0.5529411764705883,30
inception,0.68,32
inception,0.7916666666666666,34
inception,0.6176470588235294,36
inception,0.5689655172413793,38
inception,0.75,40
inception,0.5789473684210527,42
inception,0.6883116883116883,44
inception,0.5595238095238095,46
inception,0.6140350877192983,48
inception,0.71875,50
inception,0.7,52
inception,0.6779661016949152,54
inception,0.6458333333333334,56
inception,0.6323529411764706,58
inception,0.6268656716417911,60
inception,0.5606060606060606,62
inception,0.6792452830188679,64
inception,0.7068965517241379,66
inception,0.6,68
inception,0.6935483870967742,70
inception,0.6197183098591549,72
inception,0.4782608695652174,74
inception,0.5540540540540541,76
inception,0.632183908045977,78
inception,0.7142857142857143,80
inception,0.5647058823529412,82
inception,0.6701030927835051,84
inception,0.5904761904761905,86
inception,0.5813953488372093,88
inception,0.5755395683453237,90
inception,0.5604395604395604,92
inception,0.5155555555555555,94
inception,0.4891640866873065,96
inception,0.3602058319039451,98
large,0.5418994413407822,0
large,0.5737704918032787,2
large,0.634703196347032,4
large,0.569377990430622,6
large,0.5879120879120879,8
large,0.5347222222222222,10
large,0.6320754716981132,12
large,0.6851851851851852,14
large,0.703125,16
large,0.6813186813186813,18
large,0.7757009345794392,20
large,0.6739130434782609,22
large,0.6019417475728155,24
large,0.686046511627907,26
large,0.5421686746987951,28
large,0.6625,30
large,0.7627118644067796,32
large,0.620253164556962,34
large,0.671875,36
large,0.6805555555555556,38
large,0.7391304347826086,40
large,0.7875,42
large,0.7012987012987013,44
large,0.7692307692307693,46
large,0.7636363636363637,48
large,0.6746987951807228,50
large,0.7058823529411765,52
large,0.7037037037037037,54
large,0.6031746031746031,56
large,0.6226415094339622,58
large,0.5510204081632653,60
large,0.6415094339622641,62
large,0.66,64
large,0.7058823529411765,66
large,0.7719298245614035,68
large,0.6190476190476191,70
large,0.6521739130434783,72
large,0.6349206349206349,74
large,0.5679012345679012,76
large,0.5857142857142857,78
large,0.47619047619047616,80
large,0.5769230769230769,82
large,0.5757575757575758,84
large,0.559322033898305,86
large,0.5648854961832062,88
large,0.5426829268292683,90
large,0.531578947368421,92
large,0.6185185185185185,94
large,0.5829268292682926,96
large,0.4075993091537133,98
small,0.5506371562709591,0
small,0.5492610837438424,2
small,0.529126213592233,4
small,0.6101694915254238,6
small,0.6428571428571429,8
small,0.6153846153846154,10
small,0.6328125,12
small,0.671875,14
small,0.5765765765765766,16
small,0.5765765765765766,18
small,0.71,20
small,0.648936170212766,22
small,0.75,24
small,0.6421052631578947,26
small,0.7176470588235294,28
small,0.625,30
small,0.6883116883116883,32
small,0.6029411764705882,34
small,0.6363636363636364,36
small,0.6470588235294118,38
small,0.6119402985074627,40
small,0.6119402985074627,42
small,0.6951219512195121,44
small,0.6842105263157895,46
small,0.6949152542372882,48
small,0.8103448275862069,50
small,0.6774193548387096,52
small,0.5961538461538461,54
small,0.696969696969697,56
small,0.5714285714285714,58
small,0.640625,60
small,0.5666666666666667,62
small,0.5909090909090909,64
small,0.7083333333333334,66
small,0.5333333333333333,68
small,0.5576923076923077,70
small,0.5373134328358209,72
small,0.5409836065573771,74
small,0.5,76
small,0.43859649122807015,78
small,0.4307692307692308,80
small,0.4888888888888889,82
small,0.44954128440366975,84
small,0.4496124031007752,86
small,0.46875,88
small,0.430939226519337,90
small,0.5149700598802395,92
small,0.4530612244897959,94
small,0.524822695035461,96
small,0.35002721829069133,98
